,an adversary,an attacker,this attack,the attacker,the adversary,such as,in order to,this type of,does not,operating system,sensitive information,the victim,attempt to,information about,attack pattern,result in,differs from,this type of attack,target system,an adversary exploits,the purpose of,arbitrary code,adversary uses,this attack pattern,operating systems,as well as,a weakness in,based on,denial of service,denial of,attempts to,closed port,this attack differs from,web server,rather than,for instance,access control,error message,buffer overflow,web application,web service,target application,web browser,engages in,social engineering,gain access to,execute arbitrary,rely on,legitimate users,an adversary engages in,the target software,weaknesses in,this attack targets,takes advantage of,lead to,a large number of,execute arbitrary code,accomplished by,os fingerprinting,input validation,web services,flooding attack,ip address,malicious code,malicious content,malicious script,variety of,obtain sensitive,take advantage of,a buffer overflow,interacting with,depending on,this os fingerprinting probe,this type exploits,remote host,service provider,an open port,relies on,unauthorized access,this pattern of attack,malicious application,error messages,closed ports,the service provider,supply chain,http request,icmp error message,http get,sql injection,client side,vulnerable web,sequence number,malicious logic,domain name,brute force,cross site,cross domain,third party,credential prompt,icmp type,man in,the middle,cross site scripting,rfc 793,victim's browser,the victim's browser
social engineering,13,4,3,3,11,2,1,0,2,0,4,3,1,2,2,3,0,0,2,1,3,0,5,2,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,18,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gain access to,5,12,6,8,3,6,1,0,0,0,0,0,3,0,1,0,2,0,0,1,1,1,0,0,0,1,2,0,1,1,1,0,2,1,2,0,2,0,0,2,1,1,1,0,0,19,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0
execute arbitrary,2,4,5,4,3,4,4,1,0,3,2,2,0,0,1,2,1,0,0,1,0,10,0,1,0,0,1,0,2,2,1,0,0,0,0,1,0,0,4,0,1,1,0,0,0,0,12,1,0,0,0,0,0,2,1,0,10,0,0,0,1,0,0,1,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
rely on,4,9,5,9,1,4,2,3,5,0,1,0,0,1,2,1,3,2,2,0,0,1,1,1,0,1,1,0,0,0,1,0,2,0,3,0,0,0,4,1,0,0,0,1,0,1,1,13,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
legitimate users,11,1,7,2,4,2,3,2,2,2,0,0,3,0,1,3,4,1,0,0,0,1,0,1,0,1,1,0,1,1,2,0,3,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,12,0,0,0,0,0,0,3,0,1,0,0,2,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
an adversary engages in,16,0,0,0,5,5,3,3,2,4,0,0,1,4,0,0,0,0,2,0,0,0,0,0,3,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,16,2,0,0,1,0,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the target software,2,7,7,7,4,3,2,2,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,2,0,2,0,1,1,1,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,1,0,1,0,0,16,1,0,0,0,0,0,0,0,1,0,0,1,1,0,2,2,0,0,1,0,0,0,3,2,0,0,5,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
weaknesses in,7,9,6,5,2,1,2,3,1,1,1,1,0,1,2,0,1,2,1,2,1,0,0,1,0,2,1,0,1,1,1,0,1,1,2,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,1,15,1,1,1,0,0,0,0,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
this attack targets,1,10,16,10,1,4,4,2,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,2,0,0,0,1,1,5,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
takes advantage of,9,5,10,4,4,2,2,1,5,0,1,2,1,0,1,0,0,1,1,0,1,2,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,16,0,1,2,0,0,0,0,0,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
lead to,7,7,3,6,5,5,0,2,0,0,1,1,1,0,1,2,1,2,2,0,0,2,0,0,0,0,2,1,0,0,3,0,1,0,0,1,0,0,1,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,15,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
a large number of,8,3,7,4,4,1,0,2,2,0,1,0,2,0,0,3,2,1,0,1,1,0,0,0,0,1,1,1,2,2,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,1,0,11,0,1,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
execute arbitrary code,1,3,4,3,3,3,3,0,0,2,1,2,0,0,1,1,1,0,0,1,0,10,0,1,0,0,1,0,2,2,1,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,10,1,0,0,0,0,0,2,1,0,10,0,0,0,1,0,0,1,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
accomplished by,9,4,3,1,3,2,0,1,2,0,3,1,6,2,0,1,1,0,1,0,0,0,3,0,0,1,0,2,1,1,1,3,1,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,11,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
os fingerprinting,2,3,0,1,0,2,2,2,2,12,0,0,0,1,0,0,1,0,1,0,0,0,0,0,12,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
