,an adversary,the target,an attacker,this attack,the attacker,the adversary,such as,access to,able to,type of,this type of,a target,in order to,does not,an application,for example,operating system,sensitive information,the victim,attempt to,number of,result in,this type of attack,information about,differs from,attack pattern,types of,the same,due to,target system,adversary uses,an adversary exploits,arbitrary code,the use of,the purpose of,as well as,a weakness in,ability to,this attack pattern,based on,operating systems,try to,part of,attempts to,this attack differs from,denial of service,denial of,this pattern,closed port,gain access,the original,access control,for instance,gain access to,a victim,an attempt to,the goal of,rather than,buffer overflow,engages in,error message,web application,an adversary engages,target application,web server,an adversary engages in,targeted application,the target software,target software,legitimate users,the content of,web browser,large number of,a large number of,web service,execute arbitrary,out of,rely on,an attacker exploits,flooding attack,social engineering,weaknesses in,to determine if,accomplished by,this attack targets,lead to,takes advantage of,a flooding attack,but instead,the targeted application,input validation,execute arbitrary code,associated with,malicious code,web services,malicious content,ip address,take advantage of,variety of,obtain sensitive,os fingerprinting,interacting with,resulting in,an open port,unauthorized access,malicious script,attack against,this pattern of attack,relies on,do not,some cases,a buffer overflow,depending on,service provider,attack leverages,closed ports,this type exploits,malicious application,remote host,into performing,this os fingerprinting probe,sensitive data,error messages,supply chain,the service provider,sql injection,http request,http get,icmp error message,client side,vulnerable web,the underlying,malicious logic,domain name,brute force,sequence number,third party,cross domain,cross site,credential prompt,icmp type,man in,the middle,cross site scripting,victim's browser,rfc 793,the victim's browser,the victim's,the adversary's
this type of,37,16,11,9,16,16,9,6,10,55,55,8,6,4,7,2,9,7,4,4,4,6,30,5,1,1,8,3,7,4,5,0,2,5,4,5,1,1,0,1,5,2,1,4,1,3,3,0,5,0,2,1,3,0,4,3,3,2,3,3,4,7,3,2,3,3,1,2,2,2,0,1,2,2,3,1,3,3,1,2,0,3,2,1,2,2,1,2,2,1,4,0,2,1,2,4,4,0,2,2,2,2,1,1,0,3,2,0,1,2,1,1,0,2,3,2,2,3,1,0,1,0,2,0,2,0,0,0,0,1,3,1,0,1,1,1,1,1,0,1,2,0,0,0,0,0,0,0,0
a target,33,34,21,21,18,17,12,10,8,11,8,61,11,4,2,9,7,6,3,6,6,4,5,7,6,5,4,2,4,8,8,3,2,2,3,6,3,2,4,2,5,2,2,4,5,0,0,2,5,2,2,1,1,2,1,1,3,2,0,3,6,2,3,10,1,3,7,0,0,1,2,0,4,4,1,0,1,1,2,1,2,2,2,1,0,3,1,1,1,3,2,0,2,1,1,1,3,2,2,1,1,2,2,1,1,0,3,1,0,3,3,0,0,0,3,2,0,1,0,2,0,1,3,0,0,0,0,1,3,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0
in order to,22,17,33,24,27,9,13,11,14,8,6,11,59,4,11,10,7,8,6,1,1,7,3,4,6,4,6,7,4,5,2,3,4,2,4,3,7,3,3,8,3,4,4,2,3,2,2,2,2,2,3,4,4,1,2,0,4,2,3,3,3,2,3,2,3,3,2,2,2,3,4,6,0,0,1,4,0,2,3,0,1,2,1,0,4,0,2,0,0,1,2,3,0,1,1,3,2,7,1,0,2,1,0,2,1,0,0,0,0,3,1,2,2,1,2,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
does not,24,19,24,14,16,14,8,10,12,5,4,4,4,50,4,5,3,9,8,5,2,1,1,4,7,6,2,7,5,2,4,1,0,4,3,5,2,3,4,2,2,2,6,3,5,1,1,4,1,0,2,3,4,0,1,2,2,5,4,2,1,1,2,1,2,2,0,0,0,2,3,3,2,2,1,0,0,5,0,0,2,1,0,2,0,0,5,0,4,0,0,0,1,2,1,0,1,0,0,0,2,2,0,0,2,2,4,1,1,2,2,1,2,1,0,1,0,1,2,1,2,1,1,0,1,2,1,1,0,0,1,2,0,2,1,1,1,2,1,0,0,1,1,0,0,0,0,0,0
an application,24,14,23,15,14,14,9,10,12,7,7,2,11,4,49,5,4,7,1,4,3,7,4,0,3,2,2,2,4,1,0,4,7,2,3,0,3,1,1,4,0,4,5,3,1,5,5,3,0,1,1,4,0,1,0,3,1,3,3,1,0,1,1,3,0,1,6,1,1,1,7,6,1,1,2,5,1,2,3,1,0,2,0,3,0,2,3,1,0,6,1,3,2,1,2,2,0,1,0,1,0,1,3,0,2,0,0,1,1,1,1,1,1,2,1,0,0,1,0,0,0,2,0,0,2,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
for example,20,19,25,21,16,12,10,6,18,3,2,9,10,5,5,51,3,7,3,7,3,4,1,3,5,3,3,3,0,2,2,5,2,2,5,2,4,2,1,0,0,0,1,3,4,1,1,3,0,3,1,2,0,3,3,3,2,3,2,0,0,2,0,7,1,0,3,1,1,2,3,3,0,0,0,2,1,1,2,0,0,2,0,0,0,3,4,0,3,1,2,1,2,2,0,3,0,3,0,2,0,3,4,0,2,1,1,0,0,1,0,2,1,0,1,0,3,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0
operating system,24,15,12,2,9,9,10,3,7,12,9,7,7,3,4,3,49,3,0,2,3,3,1,6,2,0,8,4,1,4,2,4,3,3,0,2,3,0,0,1,23,0,2,3,0,0,0,1,9,0,5,1,0,0,1,2,3,0,1,5,6,0,4,1,0,4,2,0,0,2,0,0,0,0,0,3,1,0,2,0,0,1,4,0,0,0,0,0,2,2,0,2,0,1,0,0,2,0,1,2,12,2,0,3,0,0,0,1,0,0,0,1,3,0,1,2,0,2,5,1,10,0,3,0,0,1,0,0,5,0,0,2,1,1,0,6,2,0,0,2,2,0,0,0,0,0,0,0,0
sensitive information,28,15,13,13,8,15,2,6,12,7,7,6,8,9,7,7,3,43,4,6,2,5,6,7,4,2,2,1,3,1,1,3,2,2,4,3,2,2,2,2,0,2,1,1,3,2,2,0,0,0,1,4,2,0,1,5,3,2,2,0,1,2,0,5,0,0,2,0,0,0,4,2,1,1,1,2,1,1,0,0,4,1,0,3,1,1,1,0,3,2,0,1,0,1,0,1,1,1,0,6,0,4,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,4,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
the victim,16,9,22,14,19,11,8,11,10,6,4,3,6,8,1,3,0,4,45,1,1,3,3,3,0,5,1,8,1,5,1,2,2,1,5,1,1,1,4,1,0,1,2,0,0,0,0,0,0,1,5,0,4,0,9,1,2,3,1,0,2,3,0,0,3,0,1,0,0,0,2,3,0,0,0,2,0,0,1,0,3,1,0,1,0,1,2,0,0,1,2,2,0,4,0,2,2,1,0,1,0,2,0,0,1,5,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0,2,0,1,0,1,2,1,0,1,3,0,0,1,0,0,1,3,2,0,0,1,1,0,0,0,0,0,0
attempt to,22,14,8,12,7,15,8,10,6,4,4,6,1,5,4,7,2,6,1,34,2,1,2,1,3,2,4,0,2,0,5,0,0,2,1,4,0,4,2,2,0,2,0,3,3,2,2,1,3,3,3,1,2,3,1,17,0,2,1,1,1,0,1,1,0,1,0,0,0,3,4,0,2,2,2,0,4,0,0,2,1,0,3,6,0,1,1,2,4,0,0,0,4,0,2,1,1,1,2,3,0,2,3,3,0,1,2,0,0,0,1,1,0,1,0,3,0,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
number of,16,11,13,12,9,9,5,6,5,4,4,6,1,2,3,3,3,2,1,2,31,6,1,1,2,0,1,1,3,2,1,2,3,3,2,2,2,0,0,1,2,2,1,3,2,3,3,3,0,1,1,2,4,1,0,0,2,0,0,0,2,0,0,3,0,0,1,0,0,3,0,0,11,11,1,1,1,2,0,5,0,0,1,1,4,0,1,4,3,1,0,1,2,0,1,1,0,1,0,0,1,0,2,1,2,0,3,2,1,1,2,0,0,1,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
result in,22,7,9,6,6,8,7,8,5,6,6,4,7,1,7,4,3,5,3,1,6,32,3,0,1,1,1,4,2,2,1,2,5,1,0,2,0,1,1,0,1,1,1,1,0,2,2,0,1,0,2,1,0,0,1,0,2,0,3,0,2,1,0,5,1,0,0,1,1,3,0,0,3,3,2,2,2,1,0,2,3,0,1,1,0,2,0,2,0,0,0,1,2,1,2,1,0,1,1,3,0,1,3,0,1,0,0,0,1,1,1,1,1,3,1,0,0,0,0,0,0,3,1,1,2,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
this type of attack,20,7,6,3,9,9,3,4,5,30,30,5,3,1,4,1,1,6,3,2,1,3,30,0,1,0,0,2,1,1,1,0,1,3,2,2,1,0,0,0,0,1,1,2,1,0,0,0,1,0,1,1,0,0,3,2,2,0,3,0,2,6,0,1,2,0,1,1,1,1,0,1,1,1,0,0,2,2,0,1,0,2,0,0,1,2,1,1,2,1,3,0,0,0,0,2,1,0,0,2,0,2,0,1,0,3,1,0,0,2,1,1,0,0,3,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
information about,19,19,7,7,8,15,5,4,6,5,5,7,4,4,0,3,6,7,3,1,1,0,0,32,2,2,3,2,1,9,3,6,0,1,3,2,1,3,1,1,3,3,1,0,1,2,2,0,2,0,0,0,2,0,2,0,2,1,0,4,3,1,5,0,0,4,1,0,0,0,0,1,0,0,2,0,0,1,1,0,2,1,0,2,1,0,0,0,0,0,0,0,2,0,1,2,2,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
differs from,12,14,10,17,7,7,7,8,8,1,1,6,6,7,3,5,2,4,0,3,2,1,1,2,22,5,2,1,2,0,1,2,2,1,1,2,4,2,4,3,1,0,2,4,14,1,1,2,1,2,0,2,0,2,1,2,0,2,1,0,1,0,0,3,0,0,1,0,0,4,1,1,2,2,0,1,0,3,2,3,0,1,0,1,0,1,0,3,4,0,2,1,1,0,0,0,1,1,0,0,1,0,0,0,2,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
attack pattern,9,12,14,24,11,9,5,7,9,1,1,5,4,6,2,3,0,2,5,2,0,1,0,2,5,29,1,2,2,0,0,1,2,1,0,2,2,2,21,1,0,2,0,1,2,1,1,3,0,1,1,1,1,1,1,2,0,1,2,0,0,0,0,1,3,0,1,3,3,1,3,0,0,0,0,1,0,2,2,0,2,2,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,2,1,1,1,1,1,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
types of,18,10,11,5,8,6,6,4,5,9,8,4,6,2,2,3,8,2,1,4,1,1,0,3,2,1,25,2,5,3,6,2,1,1,1,3,1,3,1,4,6,0,0,1,2,0,0,0,8,1,2,0,2,1,1,1,0,1,1,4,2,0,3,0,1,3,0,0,0,0,3,2,0,0,0,1,3,1,0,0,0,2,6,4,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,5,0,0,2,0,0,1,0,1,0,0,0,5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
the same,13,6,14,11,13,10,9,3,5,4,3,2,7,7,2,3,4,1,8,0,1,4,2,2,1,2,2,31,2,3,1,2,2,2,1,1,1,1,1,1,2,2,3,1,1,2,2,0,1,1,4,0,4,0,2,0,0,1,0,0,0,2,0,1,1,0,0,1,1,0,0,2,0,0,1,1,0,0,1,0,2,1,1,0,2,0,1,0,0,0,3,1,0,1,1,1,2,1,0,2,1,0,0,1,1,3,1,0,1,1,0,0,0,0,3,1,0,0,1,0,1,2,0,0,0,2,0,0,0,0,2,0,0,2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
due to,19,7,5,4,5,5,2,6,5,7,7,4,4,5,4,0,1,3,1,2,3,2,1,1,2,2,5,2,25,4,5,3,1,0,0,2,2,2,1,2,1,0,2,2,1,4,4,2,3,0,1,3,1,0,1,1,2,0,0,1,1,0,1,0,1,1,0,1,1,3,0,0,2,2,2,0,1,1,2,4,1,1,2,1,0,1,0,4,2,0,0,0,2,2,2,0,2,1,0,0,0,0,1,2,1,0,1,1,2,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
target system,20,25,4,4,7,14,5,5,5,4,4,8,5,2,1,2,4,1,5,0,2,2,1,9,0,0,3,3,4,30,1,5,0,1,0,2,0,2,0,0,2,1,0,1,0,0,0,2,1,0,0,0,1,0,1,0,1,0,0,2,2,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,2,1,1,2,1,0,0,1,0,0,1,3,0,0,1,0,0,1,1,2,0,2,1,0,0,2,0,1,0,0,4,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
adversary uses,23,13,4,3,4,12,4,7,3,7,5,8,2,4,0,2,2,1,1,5,1,1,1,3,1,0,6,1,5,1,26,1,0,3,1,1,0,3,0,2,1,0,1,1,0,0,0,0,8,0,1,0,2,0,0,1,2,2,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,4,1,0,0,5,0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,4,0,1,0,0,0,1,1,0,1,0,0,4,0,0,0,1,0,0,2,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
an adversary exploits,32,10,1,1,1,16,3,4,3,0,0,3,3,1,4,5,4,3,2,0,2,2,0,6,2,1,2,2,3,5,1,32,2,1,2,0,13,0,0,3,0,0,3,2,0,1,1,1,0,1,1,4,0,1,0,0,1,1,0,0,1,1,0,0,2,0,2,0,0,0,1,2,1,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,2,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
arbitrary code,8,7,6,8,7,4,7,3,5,2,2,2,4,0,7,2,3,2,2,0,3,5,1,0,2,2,1,2,1,0,0,2,22,1,0,0,1,1,2,0,0,5,2,2,0,3,3,2,0,1,0,1,2,1,0,0,2,0,4,0,0,1,0,2,1,0,4,0,0,1,0,0,0,0,3,10,3,1,0,0,0,0,0,0,1,2,2,0,0,4,0,10,2,1,3,1,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,3,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
the use of,8,12,14,9,10,8,8,3,4,8,5,2,2,4,2,2,3,2,1,2,3,1,3,1,1,1,1,2,0,1,3,1,1,27,1,1,1,0,1,0,0,2,1,1,0,0,0,3,0,2,3,1,0,2,0,1,1,4,5,0,0,1,0,0,1,0,1,1,1,0,1,2,0,0,0,1,2,3,0,0,0,0,0,1,2,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
the purpose of,14,10,16,8,8,8,6,4,6,4,4,3,4,3,3,5,0,4,5,1,2,0,2,3,1,0,1,1,0,0,1,2,0,1,28,2,3,2,0,1,0,0,1,1,1,2,2,0,1,1,0,2,0,1,1,1,0,5,0,0,2,0,1,3,0,0,1,0,0,0,4,1,1,1,0,0,0,0,1,0,3,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as well as,12,8,8,8,8,5,7,4,6,5,5,6,3,5,0,2,2,3,1,4,2,2,2,2,2,2,3,1,2,2,1,0,0,1,2,22,0,3,1,1,1,0,1,2,2,0,0,0,0,1,1,1,0,1,1,2,1,1,0,2,3,1,2,1,1,2,0,2,2,1,2,0,1,1,0,0,0,1,1,1,1,2,0,1,0,0,1,1,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
a weakness in,15,5,10,5,4,7,2,7,3,1,1,3,7,2,3,4,3,2,1,0,2,0,1,1,4,2,1,1,2,0,0,13,1,1,3,0,23,0,1,2,0,0,2,3,2,1,1,2,0,2,0,4,0,2,0,0,0,1,1,0,1,0,0,1,1,0,2,0,0,1,0,1,1,1,0,1,0,1,6,1,0,1,0,0,0,2,1,1,2,1,3,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ability to,7,10,11,5,5,6,6,7,4,1,1,2,3,3,1,2,0,2,1,4,0,1,0,3,2,2,3,1,2,2,3,0,1,0,2,3,0,19,1,3,0,1,1,2,1,2,2,1,3,1,0,1,2,1,0,1,0,0,1,0,0,1,0,1,1,0,0,3,3,1,1,0,0,0,1,1,3,2,1,1,0,2,3,3,0,0,0,1,0,0,1,1,1,2,1,1,1,0,1,1,0,0,0,3,0,2,0,1,1,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
this attack pattern,7,9,8,21,9,7,3,5,8,0,0,4,3,4,1,1,0,2,4,2,0,1,0,1,4,21,1,1,1,0,0,0,2,1,0,1,1,1,21,1,0,2,0,0,1,1,1,2,0,0,0,1,1,0,1,2,0,1,2,0,0,0,0,1,1,0,0,2,2,1,3,0,0,0,0,1,0,1,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
based on,11,7,11,8,9,7,3,5,6,2,1,2,8,2,4,0,1,2,1,2,1,0,0,1,3,1,4,1,2,0,2,3,0,0,1,1,2,3,1,22,1,0,1,0,2,1,1,1,2,0,0,1,3,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,3,4,1,1,0,0,2,0,2,0,0,0,3,2,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
operating systems,8,8,6,0,5,2,5,0,1,8,5,5,3,2,0,0,23,0,0,0,2,1,0,3,1,0,6,2,1,2,1,0,0,0,0,1,0,0,0,1,23,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,1,0,0,4,5,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,10,0,2,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0
