,the software,does not,an attack,an attacker,does not properly,upstream component,an upstream component,special elements,neutralize or incorrectly neutralizes,the product,does not neutralize or incorrectly neutralizes,the software does not,the software receives,outside of,downstream component,a downstream component,receives input,receives input from,lead to,the software receives input from,the application,the software uses,file system,neutralize or incorrectly neutralizes special,neutralize or incorrectly neutralizes special elements,the file system to,interpreted as,the program,a resource,access to,sensitive information,able to,a software system,the software does not properly,external input,uses external input,or access arbitrary,the attacker,arbitrary files,unintended locations or access arbitrary files,the software uses external input to,for example,without appropriate validation,an attacker to traverse,a pathname,does not properly neutralize,resolve to,software uses external input to construct,accepts path input in,ambiguous path resolution and allow,a restricted directory,result in,denial of service,leading to,part of,number of,protection mechanism,control sphere,web application,this weakness,files or directories,does not sufficiently,access control,an actor,resultant weaknesses,based on,the restricted directory,a denial of service,in unexpected ways,the original,access files or directories,accessible to,buffer overflow,the product's,in order to,this allows attackers to traverse,memory location,do not,this issue,handle or incorrectly handles,software performs,depending on,unexpected actions,take unexpected actions,the software performs,control flow,the intended control sphere,code execution,stored in,type of,associated with,the process to take unexpected actions,not correctly,a buffer overflow,sensitive information in,operating system,sensitive data,an unexpected,the use of,the web application,allow attackers to,amount of,information about,relies on,a particular,application stores,types of,application uses,an error,the application stores,ability to,to operate,the software does not properly handle,attempt to,the application stores sensitive,a single,source code,resulting in,input validation,a protection mechanism,does not correctly,a crash,memory locations,attempts to,protection mechanisms,an index,an action,instead of,web server,exposure of,leads to,an object,more difficult,even if,the name of,some cases,data structure,the contents of,large number of,more difficult to,reachable by,an injected,unauthorized actors,shared resource,race condition,a certificate,random number,the program violates,the enterprise javabeans,validate or incorrectly validates,function call,the browser,the size of,susceptible to,integrated circuits and hardware,deprecated because,code uses,this entry,end of,regular expression,security identifier,data element,a position,hard coded,security critical,system on chip,on chip,user controlled,security relevant
does not neutralize or incorrectly neutralizes,45,48,2,2,0,34,34,30,48,0,48,6,27,0,28,28,26,26,0,26,2,3,0,26,24,0,19,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the software does not,105,105,2,2,39,0,0,3,6,2,6,105,0,1,0,0,0,0,2,0,0,3,1,0,0,0,0,1,13,4,1,1,0,38,1,1,0,1,0,0,1,1,0,0,1,2,1,1,0,0,0,0,0,4,2,4,1,2,0,0,0,4,1,9,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,1,1,0,0,0,2,0,4,1,0,1,0,1,0,0,1,3,0,0,4,0,1,0,0,0,0,0,10,0,0,0,0,2,0,1,4,0,0,2,0,1,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the software receives,41,37,0,0,2,41,41,27,27,0,27,0,41,0,31,31,32,32,0,32,0,0,0,17,15,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
outside of,31,23,5,5,16,1,1,2,0,5,0,1,0,69,0,0,0,0,0,0,1,18,15,0,0,14,1,3,3,1,3,0,1,1,15,15,0,0,0,0,15,0,0,0,15,15,16,15,0,0,15,2,0,1,0,0,1,13,1,0,15,5,1,2,0,0,15,0,1,1,15,1,2,1,0,14,5,1,0,0,2,0,0,0,2,0,12,1,0,2,2,0,0,2,0,1,1,0,1,1,3,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,2,1,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
downstream component,38,33,0,0,0,37,37,33,28,1,28,0,31,0,39,38,23,23,0,23,0,1,0,21,20,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
a downstream component,37,33,0,0,0,37,37,32,28,1,28,0,31,0,38,38,23,23,0,23,0,1,0,21,20,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
receives input,32,37,0,0,2,33,33,21,26,5,26,0,32,0,23,23,38,33,0,32,0,0,0,17,15,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
receives input from,32,33,0,0,2,33,33,21,26,0,26,0,32,0,23,23,33,33,0,32,0,0,0,17,15,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lead to,19,13,23,23,3,0,0,0,0,2,0,2,0,0,0,0,0,0,74,0,4,1,15,0,0,15,0,6,4,5,1,1,15,0,0,0,15,1,15,15,0,2,15,15,0,0,0,0,15,15,0,1,7,0,0,2,1,0,3,2,0,0,0,0,14,0,0,4,0,3,0,0,4,0,1,0,0,0,0,0,3,6,0,0,2,3,0,6,0,2,1,0,3,2,0,2,0,3,2,1,2,1,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,1,3,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the software receives input from,32,32,0,0,2,32,32,21,26,0,26,0,32,0,23,23,32,32,0,32,0,0,0,17,15,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the application,4,28,17,13,8,1,1,1,2,2,2,0,0,1,0,0,0,0,4,0,100,1,1,1,1,0,0,6,3,5,13,4,0,0,2,2,0,9,0,0,0,6,0,0,1,0,0,0,0,0,0,2,4,1,1,0,3,1,8,2,1,1,7,0,1,3,0,1,1,1,0,5,2,0,4,0,0,2,0,2,0,1,0,0,0,3,0,3,3,3,1,0,0,1,8,4,3,1,1,1,2,1,2,5,2,11,1,11,2,11,0,0,0,2,10,2,2,1,7,2,0,1,0,4,0,0,2,1,3,1,2,0,0,2,2,1,0,1,0,0,1,0,2,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
the software uses,65,29,2,2,18,0,0,1,3,0,3,3,0,18,1,1,0,0,1,0,1,65,0,0,0,0,0,1,5,0,1,0,0,1,17,17,0,0,0,0,17,0,0,0,15,15,15,15,0,0,14,0,1,0,2,3,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
file system,3,3,19,19,1,0,0,0,0,0,0,1,0,15,0,0,0,0,15,0,1,0,43,0,0,32,0,1,1,3,2,1,18,1,0,0,18,1,18,18,0,2,17,17,0,0,0,0,15,15,0,1,1,0,1,0,0,0,0,0,14,0,2,0,0,0,14,1,0,0,14,1,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neutralize or incorrectly neutralizes special,25,26,0,0,0,24,24,24,26,0,26,0,17,0,21,21,17,17,0,17,1,0,0,26,24,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neutralize or incorrectly neutralizes special elements,23,24,0,0,0,22,22,24,24,0,24,0,15,0,20,20,15,15,0,15,1,0,0,24,24,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the file system to,0,0,18,18,0,0,0,0,0,0,0,0,0,14,0,0,0,0,15,0,0,0,32,0,0,32,0,0,0,0,0,0,18,0,0,0,18,0,18,18,0,0,17,17,0,0,0,0,15,15,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
interpreted as,19,19,1,1,0,17,17,17,19,0,19,0,17,1,16,16,17,17,0,17,0,0,0,18,16,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the program,6,13,8,8,2,0,0,1,0,2,0,1,0,3,0,0,0,0,6,0,6,1,1,0,0,0,0,87,6,4,2,5,0,0,1,1,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,1,2,4,1,0,2,0,0,3,0,1,0,0,1,0,0,2,1,4,0,1,3,0,0,0,4,2,0,0,0,3,0,0,0,2,0,1,1,1,1,0,0,3,0,0,2,4,2,0,0,1,0,0,0,0,2,1,1,0,2,2,0,4,0,1,0,0,1,0,0,1,4,1,0,0,0,4,0,0,0,0,0,1,0,1,2,4,0,0,0,0,0,2,0,0,0,11,10,0,3,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
a resource,30,26,2,2,6,1,1,0,0,9,0,13,1,3,0,0,1,1,4,1,3,5,1,0,0,0,0,6,58,6,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,5,0,1,0,1,2,4,1,2,0,1,0,2,0,1,0,0,1,0,0,0,0,1,3,1,0,0,3,1,3,1,0,2,1,0,2,0,1,0,0,2,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,2,1,0,4,0,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
access to,13,15,11,11,5,0,0,0,0,10,0,4,0,1,0,0,0,0,5,0,5,0,3,0,0,0,0,4,6,59,7,4,2,2,1,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,1,0,4,1,4,1,1,1,4,1,0,2,0,0,0,3,0,2,0,2,4,0,0,3,1,0,0,0,1,1,0,0,0,0,4,0,0,0,3,0,1,3,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,2,2,0,0,0,2,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
sensitive information,9,9,5,4,2,0,0,0,0,8,0,1,0,3,0,0,0,0,1,0,13,1,2,0,0,0,0,2,4,7,62,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,1,0,0,2,3,0,1,1,1,2,0,0,0,2,0,1,0,5,1,1,0,0,3,0,0,0,0,1,0,0,0,0,1,0,4,1,0,0,0,1,13,1,0,0,1,2,1,1,4,0,0,7,2,2,3,7,0,0,0,0,7,0,1,0,0,0,0,3,1,0,0,1,0,0,2,6,1,0,0,2,1,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
able to,5,8,21,20,1,0,0,0,0,9,0,1,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,5,2,4,3,56,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,1,3,3,2,1,1,0,0,0,0,2,1,3,0,3,0,1,0,1,2,2,3,0,2,3,1,0,0,0,2,1,0,2,0,2,0,0,0,0,0,2,0,1,2,1,3,1,0,0,4,1,2,0,0,0,0,0,0,1,0,2,0,2,0,0,2,1,0,1,2,0,0,1,2,0,0,0,0,0,1,2,1,0,2,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a software system,0,0,22,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,18,0,0,18,0,0,0,2,1,0,22,0,0,0,18,0,18,18,0,0,17,17,0,0,0,0,15,15,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the software does not properly,38,38,2,2,38,0,0,2,0,1,0,38,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,2,0,0,0,38,1,1,0,0,0,0,1,0,0,0,1,2,1,1,0,0,0,0,0,3,1,3,1,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
external input,18,18,3,3,15,0,0,1,2,1,2,1,0,15,0,0,0,0,0,0,2,17,0,0,0,0,0,1,0,1,0,0,0,1,21,20,0,1,0,0,17,0,0,0,15,15,15,15,0,0,14,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
