,an adversary,an attacker,in order to,operating system,does not,sensitive information,attack pattern,information about,operating systems,differs from,target system,this attack pattern,arbitrary code,as well as,closed port,web server,error message,access control,rather than,denial of service,os fingerprinting,web application,buffer overflow,this os fingerprinting probe,web service,web browser,target application,social engineering,rely on,takes advantage of,remote host,obtain sensitive,web services,legitimate users,execute arbitrary code,malicious script,malicious code,ip address,input validation,lead to,interacting with,variety of,this pattern of attack,an open port,unauthorized access,malicious content,malicious application,service provider,icmp error message,take advantage of,this type exploits,supply chain,error messages,sequence number,http request,relies on,closed ports,client side,malicious logic,sql injection,http get,vulnerable web,domain name,cross site,third party,icmp type,cross domain,brute force,credential prompt,man in,the middle,cross site scripting,rfc 793,victim's browser,the victim's browser
target system,20,4,5,4,2,1,0,9,2,0,30,0,0,2,1,0,2,0,0,0,1,0,0,1,0,0,0,2,2,1,0,1,0,0,0,0,3,1,0,2,2,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
this attack pattern,7,8,3,0,4,2,21,1,0,4,0,21,2,1,0,1,0,1,1,1,0,0,2,0,0,0,1,2,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
arbitrary code,8,6,4,3,0,2,2,0,0,2,0,2,22,0,0,1,0,1,0,3,0,1,4,0,3,0,2,0,1,2,0,0,3,1,10,0,1,0,0,2,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
as well as,12,8,3,2,5,3,2,2,1,2,2,1,0,22,0,1,3,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
closed port,13,5,2,9,1,0,0,2,7,1,1,0,0,0,15,0,6,0,1,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,5,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
web server,6,7,3,0,2,0,3,0,0,0,0,1,1,1,0,18,2,0,1,1,0,3,0,0,1,4,0,0,0,0,1,1,1,0,0,3,1,0,0,0,0,1,1,0,0,1,0,1,0,0,3,0,0,0,5,0,0,2,0,0,2,2,0,2,1,0,0,0,0,0,0,1,0,0,0
error message,9,3,3,6,1,1,0,3,5,1,2,0,0,3,6,2,13,0,0,0,2,0,0,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,6,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
access control,9,9,4,1,3,4,1,0,0,2,0,1,1,1,0,0,0,22,1,2,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,3,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rather than,7,13,2,0,5,2,1,1,0,2,0,1,0,1,1,1,0,1,19,2,0,1,4,0,0,1,1,2,3,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
denial of service,6,7,2,0,1,2,1,2,0,1,0,1,3,0,0,1,0,2,2,18,0,1,1,0,5,0,0,0,0,1,0,0,4,1,2,0,1,0,0,0,0,1,0,0,1,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
os fingerprinting,2,3,2,12,2,0,0,1,12,1,1,0,0,0,2,0,2,0,0,0,12,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
web application,8,9,2,0,1,2,0,1,0,0,0,0,1,1,0,3,0,2,1,1,0,18,0,0,1,1,0,0,1,1,0,1,0,0,0,4,0,0,3,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0
buffer overflow,1,12,3,1,4,2,2,0,0,1,0,2,4,0,0,0,0,1,4,1,0,0,18,0,0,0,1,0,4,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
this os fingerprinting probe,0,3,1,10,2,0,0,0,10,1,1,0,0,0,2,0,2,0,0,0,10,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
web service,6,3,1,0,1,1,0,2,0,0,0,0,3,0,0,1,0,0,0,5,0,1,0,0,12,0,0,0,0,0,0,1,9,2,1,0,0,0,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
web browser,6,7,6,0,3,2,0,1,0,1,0,0,0,0,0,4,1,0,1,0,0,1,0,0,0,15,0,0,0,0,1,0,0,0,0,3,0,1,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
target application,5,10,2,1,1,5,1,0,0,3,0,1,2,1,0,0,1,0,1,0,0,0,1,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social engineering,13,4,1,0,2,4,2,2,0,0,2,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rely on,4,9,2,0,5,1,2,1,0,3,2,1,1,1,0,0,0,0,3,0,0,1,4,0,0,0,0,0,13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
takes advantage of,9,5,2,0,5,1,1,0,0,0,1,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,16,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
remote host,3,4,0,5,2,0,1,0,4,1,0,1,0,0,2,1,2,0,0,0,4,0,0,4,0,1,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obtain sensitive,8,1,0,2,0,6,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,3,0,0,0,10,1,0,0,0,0,0,0,1,3,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
web services,4,3,1,0,1,0,0,1,0,0,0,0,3,0,0,1,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,1,9,2,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
legitimate users,11,1,3,2,2,0,1,0,0,4,0,1,1,1,0,0,0,1,1,1,0,0,0,0,2,0,0,0,1,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
execute arbitrary code,1,3,3,2,0,1,1,0,0,1,0,1,10,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0,1,2,0,0,1,0,10,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
malicious script,6,2,0,0,2,0,1,0,0,0,0,1,0,0,0,3,0,0,1,0,0,4,0,0,0,3,0,0,0,0,2,0,0,0,0,9,0,1,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
malicious code,3,8,1,1,2,1,1,0,0,0,3,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ip address,7,2,2,2,1,1,1,2,2,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
input validation,6,7,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,14,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
lead to,7,7,0,0,0,1,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
interacting with,8,3,1,2,2,4,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
variety of,6,3,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,12,0,0,1,0,2,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
this pattern of attack,10,1,0,1,1,0,1,0,0,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
an open port,6,2,2,3,0,0,0,1,3,0,2,0,0,1,5,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unauthorized access,2,7,1,0,2,1,2,1,0,2,1,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malicious content,2,3,3,0,0,1,0,2,0,0,0,0,1,2,0,1,0,0,0,2,0,2,1,0,2,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malicious application,8,1,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,5,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
service provider,3,2,1,0,1,1,0,1,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
icmp error message,3,2,0,5,0,0,0,1,4,1,0,0,0,0,5,0,5,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
take advantage of,4,7,7,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
this type exploits,1,5,0,0,0,0,2,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,1,2,1,0,1,0,0,2,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
supply chain,8,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
error messages,4,1,0,3,1,1,0,1,2,1,0,0,0,1,3,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sequence number,0,1,0,6,1,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http request,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
relies on,1,5,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
closed ports,6,2,1,2,1,0,0,0,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
client side,1,2,0,0,0,0,1,1,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
malicious logic,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sql injection,0,8,1,1,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http get,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
vulnerable web,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
domain name,5,1,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
cross site,1,2,0,0,1,0,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
third party,2,1,1,2,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
icmp type,2,0,1,2,0,0,0,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
cross domain,1,2,0,0,2,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
brute force,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
credential prompt,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
man in,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
the middle,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
cross site scripting,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
rfc 793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
victim's browser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the victim's browser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
